amfi_code,scheme_name,month,n_shard_rows_in_month,classification
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2007-05,0,upstream
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2007-06,0,upstream
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2007-07,0,upstream
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2007-08,0,upstream
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2007-09,0,upstream
100855,NIPPON INDIA LIQUID FUND - MONTHLY IDCW OPTION,2008-05,0,upstream
101705,ICICI Prudential BSE Sensex ETF,2012-03,0,upstream
101705,ICICI Prudential BSE Sensex ETF,2012-04,0,upstream
101705,ICICI Prudential BSE Sensex ETF,2012-05,0,upstream
101705,ICICI Prudential BSE Sensex ETF,2012-06,0,upstream
101705,ICICI Prudential BSE Sensex ETF,2012-07,0,upstream
103051,NIPPON INDIA MONEY MARKET FUND - WEEKLY IDCW Option,2012-02,0,upstream
103051,NIPPON INDIA MONEY MARKET FUND - WEEKLY IDCW Option,2012-03,0,upstream
103051,NIPPON INDIA MONEY MARKET FUND - WEEKLY IDCW Option,2012-04,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-04,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-05,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-06,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-07,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-08,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-09,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2008-10,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2010-05,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2010-06,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2010-07,0,upstream
103052,NIPPON INDIA MONEY MARKET FUND - MONTHLY IDCW Option,2010-08,0,upstream
